Anah Axecaster,dwarf,female
Anna Firehand,dwarf,female
Aoti Ironfist,dwarf,female
Arka Ironpick,dwarf,female
Arna Orchammer,dwarf,female
Azda Granitecutter,dwarf,female
Barda Swordcaster,dwarf,female
Bazna Stonedigger,dwarf,female
Belbaala Ironbeard,dwarf,female
Belbaila Granitehand,dwarf,female
Belbriah Rockaxe,dwarf,female
Belmaela Redbeard,dwarf,female
Bran Bluehammer,dwarf,female
Bran Ironcutter,dwarf,female
Dagbu Rockaxe,dwarf,female
Dekani Stoneminer,dwarf,female
Delnu Earthtracker,dwarf,female
Dorah Stoneback,dwarf,female
Doriff Ironhand,dwarf,female
Dorna Blueblade,dwarf,female
Dorrin Silverhand,dwarf,female
Dorya Rockhand,dwarf,female
Duerbo Shieldcutter,dwarf,female
Duerka Swordforger,dwarf,female
Elya Bronzeworker,dwarf,female
Embka Ironaxe,dwarf,female
Erri Ironcarver,dwarf,female
Fanra Bronzeleg,dwarf,female
Fragh Trollcrusher,dwarf,female
Frili Boulderdigger,dwarf,female
Gilak Axecaster,dwarf,female
Gilmae Bluecheek,dwarf,female
Gima Ironheart,dwarf,female
Gima Stonehand,dwarf,female
Gimrim Ogreaxe,dwarf,female
Ginesli Granitehewer,dwarf,female
Gwarra Anvilworker,dwarf,female
Iodi Firmfist,dwarf,female
Kalak Grayheart,dwarf,female
Kiha Thunderpick,dwarf,female
Kilina Ironheart,dwarf,female
Luda Steelaxe,dwarf,female
Mairgunn Gravelhelm,dwarf,female
Margret Cherttracker,dwarf,female
Marlbo Earthdigger,dwarf,female
Namnu Metalforger,dwarf,female
Namret Blueaxe,dwarf,female
Namtu Flamesword,dwarf,female
Niba Pickhand,dwarf,female
Nili Flamesword,dwarf,female
Nola Tunnelcutter,dwarf,female
Olosil Spiderkiller,dwarf,female
Olosir Blackhammer,dwarf,female
Olosyna Trollhammer,dwarf,female
Ovar Tunnelcrusher,dwarf,female
Phaea Shaleminer,dwarf,female
Rana Tunnelbreaker,dwarf,female
Rara Axecarver,dwarf,female
Rari Trollspear,dwarf,female
Rega Rockhammer,dwarf,female
Regla Quartzcheek,dwarf,female
Reradi Steelhair,dwarf,female
Rerida Bouldercrusher,dwarf,female
Risina Marblecarver,dwarf,female
Rokila Stonecrusher,dwarf,female
Roti Stonefoot,dwarf,female
Rubekra Hammerfoot,dwarf,female
Runda Shalebreaker,dwarf,female
Sibrul Ironfist,dwarf,female
Steota Gemfist,dwarf,female
Tagnu Dragonhammer,dwarf,female
Teah Gravelbeard,dwarf,female
Tefna Silverfist,dwarf,female
Telil Shaletracker,dwarf,female
Telil Tunnelhewer,dwarf,female
Tetma Graniteblade,dwarf,female
Thoil Trollhewer,dwarf,female
Thovae Bluehammer,dwarf,female
Tidda Granitehammer,dwarf,female
Tidli Strongspear,dwarf,female
Tirza Thunderfoot,dwarf,female
Tora Spiderbane,dwarf,female
Tuaah Orcspike,dwarf,female
Tuli Goblinkiller,dwarf,female
Tuvari Flamespike,dwarf,female
Unra Stonecutter,dwarf,female
Valthra Shielddig,dwarf,female
Vonra Blackhammer,dwarf,female
Vuleida Swordcrafter,dwarf,female
Vulera Ironspike,dwarf,female
Whurthra Groundcrusher,dwarf,female
Yada Earthsmash,dwarf,female
Yari Rockhelm,dwarf,female
Yili Dragonsword,dwarf,female
Yili Pickfist,dwarf,female
Yura Ironcaster,dwarf,female
Yurka Grayhammer,dwarf,female
Yurren Quartzfist,dwarf,female
Yurta Grayaxe,dwarf,female
Zintra Goblinmaul,dwarf,female
Adalaain Goblinslayer,dwarf,male
Agamm Copperhand,dwarf,male
Arnar Rockdelver,dwarf,male
Azhud Quartzheart,dwarf,male
Baergbar Hammerleg,dwarf,male
Baerggan Steelaxe,dwarf,male
Balkas Pickfist,dwarf,male
Balseg Redsword,dwarf,male
Bar Granitesmash,dwarf,male
Baz Armorforger,dwarf,male
Belkral Bloodclub,dwarf,male
Berthal Axehelm,dwarf,male
Berur Bluehammer,dwarf,male
Bikrum Oakfist,dwarf,male
Birdo Oakfist,dwarf,male
Bofin Granitedigger,dwarf,male
Daer Tunnelminer,dwarf,male
Darak Pickback,dwarf,male
Dargur Graniteminer,dwarf,male
Del Axeworker,dwarf,male
Donauk Earthcarver,dwarf,male
Dorn Marblecrusher,dwarf,male
Dunain Silverhand,dwarf,male
Dwan Rockshadow,dwarf,male
Elkas Bronzeheart,dwarf,male
Eltak Farcrusher,dwarf,male
Fultur Ogrepick,dwarf,male
Fulurt Bronzeworker,dwarf,male
Garandik Goblinhammer,dwarf,male
Geher Giantbreaker,dwarf,male
Gehir Rockhand,dwarf,male
Geim Shaledelver,dwarf,male
Geserl Groundcrusher,dwarf,male
Gesgar Gemforger,dwarf,male
Gesgug Ironforger,dwarf,male
Gilgan Oakcheek,dwarf,male
Gimerl Trollhewer,dwarf,male
Gimgim Stonedigger,dwarf,male
Gimkral Goblinhammer,dwarf,male
Gladek Firmcheek,dwarf,male
Gloin Moonarm,dwarf,male
Gnok Groundminer,dwarf,male
Gorgim Fardelver,dwarf,male
Grart Copperheart,dwarf,male
Gret Flamehammer,dwarf,male
Gret Hammershadow,dwarf,male
Helg Ringcarver,dwarf,male
Hilbar Armorforger,dwarf,male
Hirbek Granitedelver,dwarf,male
Hirgrat Bronzehand,dwarf,male
Indel Chertleg,dwarf,male
Jalanar Redsword,dwarf,male
Kagin Farcarver,dwarf,male
Kalderide Rockhewer,dwarf,male
Kalderster Ironbeard,dwarf,male
Karthal Hammerfist,dwarf,male
Kilgar Copperbeard,dwarf,male
Kilis Ogrepick,dwarf,male
Kirrin Axeforger,dwarf,male
Klob Goblinslayer,dwarf,male
Kok Thunderaxe,dwarf,male
Mair Giantcrusher,dwarf,male
Mardar Steelbeard,dwarf,male
Matan Shielddweller,dwarf,male
Materl Rockhelm,dwarf,male
Naan Ironarm,dwarf,male
Nirdas Stoneclub,dwarf,male
Nirin Goblinbender,dwarf,male
Nor Copperfist,dwarf,male
Nosig Granitemaul,dwarf,male
Rak Farcrusher,dwarf,male
Rak Grayshadow,dwarf,male
Rakhud Onyxheart,dwarf,male
Reldrek Granitemaul,dwarf,male
Ronob Quartzback,dwarf,male
Rotu Ironsmash,dwarf,male
Stargruk Rockback,dwarf,male
Starin Gemforger,dwarf,male
Thir Dragonaxe,dwarf,male
Thir Foeblade,dwarf,male
Thirdal Gemcarver,dwarf,male
Thirus Goblinkiller,dwarf,male
Thoin Bloodsword,dwarf,male
Thorur Oakbeard,dwarf,male
Thorur Ogreaxe,dwarf,male
Toal Axebeard,dwarf,male
Tobar Armorforger,dwarf,male
Tomu Ogrebane,dwarf,male
Trol Gemheart,dwarf,male
Ulrin Rockaxe,dwarf,male
Varak Ogrespike,dwarf,male
Varster Spidersword,dwarf,male
Volkkas Swordmaker,dwarf,male
Yab Blueaxe,dwarf,male
Yedund Spiderhammer,dwarf,male
Yurdurn Dragonkiller,dwarf,male
Yurkas Thunderhand,dwarf,male
Yurmar Spiderbane,dwarf,male
Zundrel Anvilcarver,dwarf,male
Zuth Tunnelhewer,dwarf,male
Adangon,elf,male
Agordardren,elf,male
Ainrond,elf,male
Airacion,elf,male
Airthal,elf,male
Aranaias,elf,male
Aranion,elf,male
Aranmion,elf,male
Arlassien,elf,male
Arphenon,elf,male
Arrithdon,elf,male
Arwaiion,elf,male
Banthanas,elf,male
Baralaerien,elf,male
Baranien,elf,male
Belllaerion,elf,male
Caelaithyonton,elf,male
Caeltimbarion,elf,male
Caranion,elf,male
Caunmion,elf,male
Celedur,elf,male
Cerenefinion,elf,male
Daerbeliion,elf,male
Dareurion,elf,male
Darranion,elf,male
Daugion,elf,male
Daugoastar,elf,male
Daugofaradien,elf,male
Dordirnainen,elf,male
Dorglironren,elf,male
Dralassan,elf,male
Draugnefincan,elf,male
Drayarion,elf,male
Edenion,elf,male
Ehtvantion,elf,male
Elien,elf,male
Elion,elf,male
Elranien,elf,male
Emerwe,elf,male
Eredhnon,elf,male
Erurathon,elf,male
Erurithil,elf,male
Erutadol,elf,male
Erynion,elf,male
Faefinon,elf,male
Galanion,elf,male
Glanion,elf,male
Glennsathdhron,elf,male
Glennthernun,elf,male
Gweallenion,elf,male
Habrision,elf,male
Habrisnon,elf,male
Habrisyan,elf,male
Harthaavornen,elf,male
Indodur,elf,male
Indomerun,elf,male
Istbadon,elf,male
Istthanir,elf,male
Kathondan,elf,male
Kithyangnen,elf,male
Laersirien,elf,male
Lairepantion,elf,male
Landaondan,elf,male
Lantharon,elf,male
Limwe,elf,male
Llepanuionion,elf,male
Locien,elf,male
Mabaion,elf,male
Matabaraddas,elf,male
Megildan,elf,male
Megilion,elf,male
Mellaidien,elf,male
Meltolnen,elf,male
Minbail,elf,male
Neslassion,elf,male
Nibenrinhon,elf,male
Nithion,elf,male
Nostthanron,elf,male
Paranon,elf,male
Rildur,elf,male
Rilgos,elf,male
Rimecion,elf,male
Ruwe,elf,male
Saelon,elf,male
Saelron,elf,male
Sellyan,elf,male
Sidhfinien,elf,male
Sidhsiron,elf,male
Taadhamion,elf,male
Talrathion,elf,male
Tandaeil,elf,male
Taurthaaonthon,elf,male
Taurtheldorion,elf,male
Teion,elf,male
Tithyarson,elf,male
Vanaenien,elf,male
Vermenion,elf,male
Veryalancan,elf,male
Yalathinin,elf,male
Adonariel,elf,male
Aeraniel,elf,female
Ahglersinwen,elf,female
Aintiladwen,elf,female
Amamethcath,elf,female
Amonmana,elf,female
Andoliel,elf,female
Anestiel,elf,female
Aradethiel,elf,female
Beriia,elf,female
Beriwen,elf,female
Bermorwen,elf,female
Bronminaiel,elf,female
Buiathiel,elf,female
Caialiel,elf,female
Calarwen,elf,female
Calreninria,elf,female
Caraniel,elf,female
Caranna,elf,female
Catoriel,elf,female
Ciretoriel,elf,female
Cuilwen,elf,female
Eralcath,elf,female
Erdrannwen,elf,female
Erialiel,elf,female
Eruiel,elf,female
Erulaniel,elf,female
Eruuraiiel,elf,female
Eruwen,elf,female
Eswilcath,elf,female
Fildamiriel,elf,female
Fillaniel,elf,female
Finialya,elf,female
Finuraiiel,elf,female
Ganaecath,elf,female
Gliredra,elf,female
Gonlaniel,elf,female
Gonlothiel,elf,female
Gwethgaladnel,elf,female
Gweththenmamilasa,elf,female
Gwilarwen,elf,female
Haetimiel,elf,female
Hertolthya,elf,female
Iamaricath,elf,female
Ilarsinya,elf,female
Inlothiel,elf,female
Laitimiel,elf,female
Lamtolththa,elf,female
Lona,elf,female
Losthathalasa,elf,female
Lothpantiel,elf,female
Luthiel,elf,female
Maermana,elf,female
Melasse,elf,female
Melathiel,elf,female
Meldiriel,elf,female
Meleniel,elf,female
Meltoriel,elf,female
Meriliel,elf,female
Minmaivna,elf,female
Mirwen,elf,female
Morerinniel,elf,female
Naranna,elf,female
Nessthea,elf,female
Nimialiel,elf,female
Panerynwen,elf,female
Panhiliel,elf,female
Panraniel,elf,female
Panthoniel,elf,female
Pedadhiel,elf,female
Pedethiel,elf,female
Pedlathae,elf,female
Raina,elf,female
Relotiel,elf,female
Rinthea,elf,female
Rostimirlasa,elf,female
Sabarima,elf,female
Saiethiel,elf,female
Silivnostiel,elf,female
Solorthonra,elf,female
Talaessa,elf,female
Tanna,elf,female
Tilanmamiiel,elf,female
Tiregethiel,elf,female
Tirlandeth,elf,female
Tirteliel,elf,female
Tirvaiel,elf,female
Turethiel,elf,female
Turvaniel,elf,female
Vaadhiel,elf,female
Vanalimeth,elf,female
Vanateliel,elf,female
Vanenrawen,elf,female
Vaniel,elf,female
Vaniethiel,elf,female
Vanyasta,elf,female
Yara,elf,female
Yathtolthwen,elf,female
Flin,elf,female
Orbidoc,elf,female
Daleory,elf,female
Dale,halfling,male
Bill,halfling,male
Pavimac,halfling,male
Hobel,halfling,male
Patin,halfling,male
Orby,halfling,male
Flinimac,halfling,male
Pavy,halfling,male
Hob,halfling,male
Liemory,halfling,male
Samy,halfling,male
Orbory,halfling,male
Liemery,halfling,male
Samory,halfling,male
Samer,halfling,male
Tuck,halfling,male
Liemadash,halfling,male
Mery,halfling,male
Hobery,halfling,male
Sam,halfling,male
Merilery,halfling,male
Meril,halfling,male
Pav,halfling,male
Timy,halfling,male
Hobimac,halfling,male
Pip,halfling,male
Flinery,halfling,male
Timery,halfling,male
Samel,halfling,male
Pipimac,halfling,male
Dannory,halfling,male
Merilabary,halfling,male
Dann,halfling,male
Merel,halfling,male
Liemimac,halfling,male
Per,halfling,male
Timadash,halfling,male
Duff,halfling,male
Danner,halfling,male
Peonellia,halfling,female
Prissy,halfling,female
Primly,halfling,female
Dasellia,halfling,female
Mimula,halfling,female
Prinelda,halfling,female
Peonda,halfling,female
Maltle,halfling,female
Hamsy,halfling,female
Peonula,halfling,female
Malellia,halfling,female
Mimtle,halfling,female
Roselia,halfling,female
Gilda,halfling,female
Prisda,halfling,female
Pansy,halfling,female
Prima,halfling,female
Aldbella,halfling,female
Primra,halfling,female
Gilly,halfling,female
Canen,halfling,female
Prinba,halfling,female
Asphelia,halfling,female
Aldelda,halfling,female
Lauelda,halfling,female
Gilellia,halfling,female
Popen,halfling,female
Dorula,halfling,female
Hamellia,halfling,female
Bellelda,halfling,female
Ruba,halfling,female
Aldsa,halfling,female
Hamula,halfling,female
Lobellia,halfling,female
Esmervia,halfling,female
Dorodel,halfling,female
Rubadonna,halfling,female
Peonadonna,halfling,female
Canta,halfling,female
Tanda,halfling,female
Siltle,halfling,female
Myrodel,halfling,female
Miraaranth,halfling,female
Lobaranth,halfling,female
Dorba,halfling,female
Lauda,halfling,female
Prina,halfling,female
Miraula,halfling,female
Alden,halfling,female
griman,,
rothath,,
kolnath,,
derowyn,,
olun,,
brengar,,
orgar,,
ilund,,
telstaff,,
grimdar,,
relend,,
brenslade,,
krelnal,,
orath,,
culbran,,
glenal,,
tirstaff,,
karnal,,
